,number_of_qubits,qft_variant,process_fidelity
498,50,QCTRLFowlerQFT,1.5792418582310303e-05
499,50,QCTRLFowlerQFT,1.5792418582310303e-05
500,52,QCTRLFowlerQFT,-2.853163611803959e-22
501,52,QCTRLFowlerQFT,-2.853163611803959e-22
502,52,QCTRLFowlerQFT,0.0
503,52,QCTRLFowlerQFT,2.6234514691032673e-06
504,52,QCTRLFowlerQFT,7.88659662599798e-06
505,52,QCTRLFowlerQFT,2.626699912840903e-05
506,52,QCTRLFowlerQFT,-2.853163611803959e-22
507,52,QCTRLFowlerQFT,2.631572578447355e-06
508,52,QCTRLFowlerQFT,-2.853163611803959e-22
509,52,QCTRLFowlerQFT,2.633204342184328e-05
510,52,QCTRLFowlerQFT,0.0
511,52,QCTRLFowlerQFT,0.0
512,52,QCTRLFowlerQFT,1.5813874217397945e-05
513,52,QCTRLFowlerQFT,2.631572578447355e-06
514,52,QCTRLFowlerQFT,0.0
515,52,QCTRLFowlerQFT,0.0
516,52,QCTRLFowlerQFT,2.6234514691032673e-06
517,52,QCTRLFowlerQFT,0.0
518,52,QCTRLFowlerQFT,1.581387421739796e-05
519,52,QCTRLFowlerQFT,0.0
520,54,QCTRLFowlerQFT,0.0
521,54,QCTRLFowlerQFT,2.6366312473177134e-06
522,54,QCTRLFowlerQFT,2.637644617241336e-05
523,54,QCTRLFowlerQFT,1.5804630584058402e-05
524,54,QCTRLFowlerQFT,1.5834973483091804e-05
525,54,QCTRLFowlerQFT,0.0
526,54,QCTRLFowlerQFT,1.5804630584058402e-05
527,54,QCTRLFowlerQFT,2.6366312473177134e-06
